task_id,parent_id,wave,domain,title,depends_on,status,kind,effort_person_days,process_profile,skills,learning_refs,deliverables,acceptance_criteria,evidence_required,completion_condition,claimant,branch,reviewer
F-01,SRP-ROOT,W0,合同与协议,【合同与协议】运行合同v2与fixture,,DONE,FIXED,3,P-DEV,Python+JSON Schema+合同测试,L-SCHEMA|L-PYTEST,Schema;manifest与消息fixture;迁移说明;合同测试,AC1合法fixture全通过；AC2缺字段错版本正式Mock和重复控制失败关闭；AC3未知兼容字段被安全忽略,tests/contract报告;fixture哈希;端口登记记录,全部AC通过且第二人复核接口,Codex,codex/f-01-runtime-contract,傅钧烨（团队总监，独立第二人复核）
F-02,SRP-ROOT,W0,研究设计,【研究设计】Gate2构念SCCI四层理解与Level A/B材料,,DONE,FIXED,3,P-DESIGN,构念定义+问卷+访谈,L-RESEARCH|L-MARKDOWN,构念图;SCCI操纵检查候选;条件中性四层理解题;心智努力候选;项目功能差异计划;专家表;两条件认知访谈提纲;目的猜测;修改日志,AC1SCCI明确降为操纵检查且不单独承担表示价值；AC2四层理解和心智努力不使用天气融合措辞且总问卷目标不超过5分钟；AC3项目筛选在查看条件效果前冻结并可执行序数项目与条件间差异审计,03_步骤02_构念比较条件与测量/01_F-02_Gate2构念与测量深度研究包_v0.9-candidate.md;03_步骤02_构念比较条件与测量/02_F-02_验收记录.md;99_验证与清单/validate_f02_package.py,候选材料通过AC且不越过Level A/B；U1与U5保持开放,GPT Deep Research+Codex,main,Codex独立AC审查
F-03,SRP-ROOT,W0,Unity,【Unity】可复现工程与测试构建基线,,DONE,FIXED,3,P-DEV,Unity+C#+Edit/Play Mode+环境复现+构建,L-UNITY|L-UNITYTEST,精确Unity与包锁环境报告;基线编译与Edit/Play测试架;可重复Windows开发构建链;DEV-REPLAY标记;无TD无Spout依赖扫描;资产阻断基线,AC1精确Unity和包锁可在干净工作区恢复并编译且漂移失败关闭；AC2Edit/Play测试与Windows开发构建可重复执行且所有开发制品清晰标记DEV-REPLAY；AC3关闭TD与Spout后开发构建仍可启动且正式模式缺manifest或资产门失败关闭,Unity环境报告;包锁哈希;测试XML;构建日志;DEV-REPLAY截图;无TD无Spout扫描;正式门负测试报告;运行身份报告;同次资产报告;本地构建收据;F-01负测试日志,可复现工程与测试构建基线向U-01 U-02和V-05交付且不预设天气方案或研究流程,Codex Agent（F-03独立对话）,codex/f-03-unity-baseline,傅钧烨（团队总监，独立第二人复核人）
F-04,SRP-ROOT,W0,TouchDesigner,【TouchDesigner】只读操作台壳,,DONE,FIXED,2,P-DEV,TouchDesigner+DAT+CHOP+操作台,L-TD,会话设备波形质量时钟模块降级页面骨架;只读标记,AC1静态fixture可演示全部页面；AC2关闭TD不影响其他制品；AC3不存在Spout输出随机化或阈值编辑入口,toa/toe版本;页面截图;节点权限检查,只读壳经另一人操作复核,Codex Agent（F-04独立对话）,codex/f-04-readonly-console,独立Agent（团队总监；用户授权；任务01a04c71-9894-73c3-aea1-30cb0d0280c0）
F-05,F-01,W1,合同与协议,【合同与协议】相位实例v2.2与消费者迁移,F-01|P-01|P-02,DONE,FIXED,4,P-DEV,Python+JSON Schema+兼容迁移+合同测试,L-SCHEMA|L-PYTEST,不可变v2.1与版本化v2.2 Schema;storm双停与fade双吸步骤fixture;消费者迁移指南;P-01与P-02适配;Unity与TD消费合同fixture;专项验证器,AC1v2.2显式提供周期步骤与实例标识并无损表达storm两个停留和fade两次吸气且v2.1保持不可变；AC2合法非法重连暂停重复输入和确定性重放合同测试通过；AC3未迁移消费者在正式模式失败关闭且不得从相位名称或进度猜测步骤实例,Schema与fixture哈希;合同测试报告;消费者迁移矩阵;独立复核记录;第二人签收报告,v2.2及全部正式消费者迁移经第二人签收后才允许U-01 U-02 T-01和U-07进入实现,Codex Agent（F-05独立对话）,codex/f-05-phase-v22,傅钧烨（团队总监，独立第二人复核人）
G-01,F-02,W1,研究治理,【研究治理】伦理材料许可招募产能与角色台账,F-02,DONE,FIXED,5,P-DESIGN,研究治理+许可核验+招募运营,L-RESEARCH|L-DATASEC,单次参与材料;招募说明;同意材料;量表许可台账;角色职责;偏离模板;528会话产能模型;两周吞吐演练方案;停止规则,AC1所有材料与v1.1单次流程一致且每项许可有来源责任人；AC2工位设备人员预算及55至70分钟占用情景可重建；AC3两周演练字段模板覆盖触达筛选预约到场完成爽约非完整故障与U8结论,材料清单;许可证据索引;产能模型;演练报告模板;双人审查记录,候选材料和可执行模板经第二人签收；实际机构路径许可人员配置与U8执行转交G-05,Codex,codex/g-01-research-governance,傅钧烨（团队总监，独立第二人复核）
G-02,F-01,W1,数据治理,【数据治理】数据分级跨阶段去重与资产许可,F-01,DONE,FIXED,4,P-DESIGN,数据治理+最小权限+资产许可,L-DATASEC|L-GIT,L0至L5分级;机构密钥控制的HMAC联络去重表;密钥与数据物理分离;研究ID映射隔离;跨阶段重复审计;权限矩阵;备份恢复;Unity音视频字体许可台账,AC1HMAC去重表密钥与研究manifest物理分离且manifest不含联络信息；AC2跨Level B/C阶段一三重复审计和最小权限恢复演练通过；AC3发布资产许可台账覆盖且未知状态失败关闭,权限负测试;重复审计fixture;恢复演练日志;资产许可台账,治理实现合同和失败关闭门经第二人签收；正式专机机构期限资产清零与实地消费转交G-05,Codex,codex/g-02-data-governance,傅钧烨（团队总监，独立第二人复核）
P-01,F-01,W1,Python核心,【Python核心】manifest与会话编排,F-01,DONE,FIXED,6,P-DEV,Python+状态机+性质测试,L-PY|L-PYTEST,SessionCore;manifest语义与正式门;固定顺序与段模块状态机;幂等控制;TCP5010控制服务;UDP5005/5006发布门;golden轨迹,AC1确定性时钟与24种顺序两种提示模式测试通过；AC2重复请求不推进且控制重试保持同ID同序号；AC3非法转换正式失败关闭与四模块800秒回放通过,pytest报告;golden状态轨迹;配置与接口说明;独立Agent复查;已签署第二人报告,SessionCore不导入Unity或TD且本机传输只消费F-01合同,Codex,codex/p-01-session-core,傅钧烨（团队总监、独立第二人复核）
P-02,F-01,W1,数据记录,【数据记录】L0/L1追加记录与重放,F-01,DONE,FIXED,4,P-DEV,Python+追加日志+校验和+重放,L-PY|L-PYTEST,L0原始包;L1事件ACK回执;manifest与哈希;重放读取器,AC1中断恢复不覆盖旧数据；AC2校验和发现改写；AC3相同输入重放产生相同状态事件,恢复测试;篡改负测试;重放哈希报告;已签署第二人报告,L0/L1格式被A-01和设备适配器消费,Codex,codex/p-02-session-store,傅钧烨（团队总监、独立第二人复核）
U-01,F-03,W1,Unity,【Unity】可靠控制技术探针与渲染回执,F-01|F-03|F-05|P-01,READY,FIXED,4,P-DEV,Unity+C#+TCP/UDP+状态镜像+幂等,L-UNITY|L-UNITYTEST,SessionMirror;可靠控制客户端;UDP5006接收门;ACK;渲染回执;重连与故障注入,AC1丢包乱序重复fixture测试通过且控制重发保持同一事件ID；AC2旧帧不覆盖新帧且Unity本地时钟不推进模块；AC3握手错误断连重连和回执拒绝均按合同失败关闭,Edit/Play测试;网络故障日志;状态镜像轨迹;ACK与渲染回执序列,合同版本与F-01和F-05一致且消费已签收P-01传输输出并向U-03交付技术探针,,,
U-02,F-03,W1,Unity,【Unity】四层SceneAdapter实现与降级,F-03|F-05|V-03,READY,FIXED,3,P-DEV,Unity+C#+接口实现+测试,L-UNITY|L-UNITYTEST,SceneAdapter;Target Actual Recovery Fallback四层;锁定;重置;降级,AC1每层单独变化不影响其他层且实现符合V-03映射合同；AC2锁定后累计状态不再变化且重置只在合法生命周期发生；AC3降级不伪造成功也不从背景动画泄露目标节律,接口测试;参数快照;层级隔离测试;降级录像,全部天气和抽象条件只能通过同一SceneAdapter扩展点接入且正式模式消费已签收F-05合同,,,
T-01,F-04,W1,TouchDesigner,【TouchDesigner】遥测设备质量与时钟面板,F-01|F-04|F-05,DONE,FIXED,3,P-DEV,TouchDesigner+UDP+DAT+CHOP,L-TD,UDP5005客户端;20Hz节流;设备SQI延迟序号面板;断流状态,AC1fixture重放字段正确；AC2乱序丢包和断流显示正确；AC3任何节点均不回写权威状态,fixture录像;节点导出;断流截图,只读取F-01与F-05合同遥测,Codex Agent（T-01独立工作树）,codex/t-01-telemetry-panel,傅钧烨（团队总监、独立第二人复核人）
R-01,F-02,W1,体验设计,【体验设计】四层候选语法完整表示方案与中性说明,F-02,DONE,FIXED,4,P-DESIGN,交互设计+配置+公平性审查,L-RESEARCH|L-MARKDOWN,四模块目标结构;四层跨模块语法;完整表示方案必须匹配处理差异记录项矩阵;运动亮度复杂度偏心遮挡显著度区间;时间区间;中性说明,AC1四层输入时间尺度禁止耦合和失败模式通过Schema与双审；AC2两条件按完整提示表示方案定义且不声称单一机制归因；AC3六类视觉混杂可量化并冻结允许区间且说明不诱导预期结果,20_产品与场景设计/R-01_四层表示方案/R-01_四层候选语法与完整表示方案_v0.9-candidate.md;20_产品与场景设计/R-01_四层表示方案/R-01_验收记录.md;20_产品与场景设计/R-01_四层表示方案/r01-four-layer-representation-v0.9.schema.json;99_验证与清单/validate_r01_package.py,候选设计通过AC并供Unity和W-01消费；真实渲染与Level证据保持开放,GPT Deep Research+Codex,main,Codex独立AC审查
V-01,R-01,W1,Unity前期设计,【Unity前期设计】研究体验契约与完整旅程,F-02|R-01,DONE,FIXED,3,P-DESIGN,游戏场景流程+体验目标分解+研究约束矩阵+旅程图,L-RESEARCH|L-UNITYLEARN|L-MARKDOWN,冻结项与开放项矩阵;目标体验简报;入口四模块转场结束完整旅程图;MDA反推表;场景设计决策日志,AC1四模块无参与者操作Python权威两条件和证据需求均进入冻结矩阵且具体天气表现保持开放；AC2完整旅程覆盖入口四模块转场结束并明确每段参与者所见所闻与系统状态；AC3每个设计主张映射到研究变量运行遥测或标注为非研究装饰且合同变化只能走版本变更,冻结矩阵;体验简报;旅程图;跨角色评审记录;决策日志,为V-02提供不依赖旧Unity场景的完整设计起点且不修改已签收合同,Codex Agent,codex/v-01-experience-contract,傅钧烨（团队总监，真实团队第二人复核）
